Age,Group_Size,Travel_Mode,Location,Activity_Type,Duration_Minutes,Hotel_Star,Carbon_Footprint_kg_CO2
23,2,Walking,Kandy,Vehicle Travel,62,3,0.434
66,8,Private Vehicle,Badulla,Vehicle Travel,189,2,17.366
59,10,Flight,Trincomalee,Flight,308,3,202.103
45,1,Private Vehicle,Badulla,Private / Hired Vehicle,47,5,0.477
45,1,Private Vehicle,Yala,Sightseeing,65,3,0.105
72,4,Public Transport,Polonnaruwa,Cultural / Temple Visit,61,2,0.36
23,10,Ferry,Bentota,Ferry,68,3,3.402
61,7,Public Transport,Yala,Spa / Ayurveda,115,5,5.837
30,9,Public Transport,Bentota,Airport Transfer,101,3,6.57
23,4,N/A,Trincomalee,Meal,89,3,9.959
51,2,Public Bus,Nuwara Eliya,Vehicle Travel,216,2,3.969
79,5,Private Vehicle,Trincomalee,Shopping,85,3,2.294
64,2,Ferry,Polonnaruwa,Ferry,70,5,0.811
65,9,N/A,Ella,Resting,174,4,0.842
63,2,Private Vehicle,Dambulla,Private / Hired Vehicle,118,3,2.083
67,3,Private Vehicle,Kalpitiya,Spa / Ayurveda,201,5,4.451
50,5,Walking,Colombo,Walking,56,3,0.003
26,5,Public Transport,Hikkaduwa,Airport Transfer,57,5,2.864
70,7,N/A,Arugam Bay,Meal,54,1,8.913
46,4,Walking,Mirissa,Walking,60,3,0.003
49,14,Private Vehicle,Sigiriya,Vehicle Travel,66,5,14.389
41,12,Private Vehicle,Nuwara Eliya,Airport Transfer,127,5,15.465
29,13,Walking,Sigiriya,Walking,54,4,0.007
76,7,Flight,Ella,Flight,297,4,151.279
67,7,Private Vehicle,Yala,Vehicle Travel,174,5,20.726
58,7,Train,Kalpitiya,Vehicle Travel,189,4,13.813
43,4,Public Bus,Dambulla,Vehicle Travel,236,3,9.086
69,3,Boat,Ella,Boat Ride,48,3,0.702
52,6,Public Transport,Jaffna,Shopping,136,4,3.893
45,1,Private Vehicle,Kandy,Airport Transfer,47,4,0.455
46,1,Public Transport,Kandy,Spa / Ayurveda,132,5,1.004
32,12,N/A,Mirissa,Resting,126,3,0.765
23,1,N/A,Bentota,Meal,49,2,1.393
52,5,Walking,Negombo,Vehicle Travel,303,2,5.04
73,7,Walking,Ella,Other,188,5,0.828
22,2,Bicycle,Galle,Vehicle Travel,140,1,1.883
72,13,Private Vehicle,Negombo,Sightseeing,113,5,3.136
70,2,Private Vehicle,Nuwara Eliya,Sightseeing,164,1,0.488
35,13,Jeep,Kandy,Wildlife Safari,286,3,54.438
57,10,Private Vehicle,Dambulla,Other,201,5,4.334
28,2,Public Transport,Negombo,Airport Transfer,88,3,1.253
65,1,Private Vehicle,Haputale,Sightseeing,102,5,0.226
62,3,Flight,Jaffna,Flight,106,2,18.137
40,4,N/A,Arugam Bay,Resting,59,4,0.129
22,2,Private Vehicle,Hikkaduwa,Airport Transfer,138,4,3.134
79,20,Private Vehicle,Dambulla,Vehicle Travel,108,5,36.519
46,2,Tuk-Tuk,Mirissa,Vehicle Travel,181,2,3.806
74,11,Cruise,Bentota,Cruise,406,3,119.799
60,1,Private Vehicle,Kalpitiya,Vehicle Travel,234,4,3.151
67,18,N/A,Negombo,Resting,80,5,0.861
65,2,Train,Kalpitiya,Vehicle Travel,302,5,6.569
30,4,Private Vehicle,Jaffna,Vehicle Travel,118,5,7.752
40,6,Walking,Yala,Other,50,4,0.181
47,1,Private Vehicle,Polonnaruwa,Private / Hired Vehicle,59,4,0.585
49,11,Public Transport,Mirissa,Spa / Ayurveda,128,5,9.779
20,2,Flight,Dambulla,Flight,205,5,31.991
52,6,Walking,Kalpitiya,Walking,60,5,0.005
27,6,Private Vehicle,Sigiriya,Sightseeing,180,5,2.154
64,7,Private Vehicle,Ella,Sightseeing,164,5,2.743
61,1,Private Vehicle,Galle,Private / Hired Vehicle,122,2,1.14
76,2,N/A,Jaffna,Meal,47,3,3.124
64,1,Tuk-Tuk,Polonnaruwa,Vehicle Travel,299,5,4.647
41,3,Public Transport,Badulla,Spa / Ayurveda,125,4,2.399
78,1,Boat,Colombo,Boat Ride,78,2,0.353
43,14,Private Vehicle,Colombo,Sightseeing,148,4,3.795
38,5,N/A,Hikkaduwa,Resting,210,4,0.597
75,7,Private Vehicle,Sigiriya,Sightseeing,44,5,0.741
41,3,Tuk-Tuk,Arugam Bay,Vehicle Travel,287,5,13.092
22,2,Train,Kandy,Vehicle Travel,120,1,1.938
47,5,Private Vehicle,Kandy,Medical / Hospital Visit,55,3,2.259
68,3,Private Vehicle,Trincomalee,Vehicle Travel,285,1,9.151
29,3,N/A,Hikkaduwa,Resting,121,5,0.207
47,4,Jeep,Kalpitiya,Wildlife Safari,233,2,14.685
26,5,Walking,Arugam Bay,Jogging,35,4,0.026
61,19,Bicycle,Mirissa,Vehicle Travel,197,4,30.707
47,2,N/A,Kalpitiya,Resting,171,4,0.19
38,5,Private Vehicle,Yala,Vehicle Travel,149,4,10.73
32,1,Water,Nuwara Eliya,Swimming / Snorkeling,86,4,0.077
53,3,Public Transport,Polonnaruwa,Shopping,178,4,2.547
60,9,Private Vehicle,Colombo,Vehicle Travel,70,2,8.47
77,2,Walking,Sigiriya,Walking,24,3,0.001
45,6,Tuk-Tuk,Galle,Vehicle Travel,131,4,9.256
28,4,Walking,Mirissa,Walking,76,3,0.003
70,1,Flight,Sigiriya,Flight,123,4,9.268
57,15,Public Transport,Bentota,Spa / Ayurveda,135,3,14.38
62,4,Walking,Hikkaduwa,Vehicle Travel,222,5,4.754
24,10,Public Bus,Sigiriya,Vehicle Travel,211,2,24.806
37,4,Private Vehicle,Anuradhapura,Shopping,191,4,3.859
66,15,Walking,Arugam Bay,Vehicle Travel,202,2,12.612
70,3,Private Vehicle,Galle,Private / Hired Vehicle,40,4,1.456
45,4,Private Vehicle,Haputale,Vehicle Travel,195,3,9.87
68,10,N/A,Badulla,Beach Leisure,252,4,2.385
71,3,Public Bus,Negombo,Vehicle Travel,212,2,6.79
42,3,Walking,Galle,Other,148,4,0.241
74,20,Walking,Arugam Bay,Sightseeing,159,4,1.713
36,6,Bicycle,Anuradhapura,Vehicle Travel,118,5,5.698
33,8,Private Vehicle,Ella,Other,77,4,0.994
60,7,Tuk-Tuk,Kalpitiya,Vehicle Travel,107,4,9.815
58,11,Private Vehicle,Yala,Sightseeing,54,5,1.331
26,12,Flight,Hikkaduwa,Flight,147,2,95.605
70,6,Tuk-Tuk,Hikkaduwa,Vehicle Travel,208,4,16.993
30,3,Public Transport,Bentota,Sightseeing,227,3,1.002
